2025-07-20 19:37:07,740 | INFO | airguardian | App starting...
2025-07-20 19:37:31,622 | INFO | airguardian | Returning first 3 drones
2025-07-20 19:37:51,399 | INFO | airguardian | Returning first 3 drones
2025-07-20 19:37:59,460 | INFO | airguardian | Returning first 3 drones
2025-07-20 19:38:02,695 | INFO | airguardian | Returning first 10 drones
2025-07-20 19:40:06,526 | INFO | airguardian | App starting...
2025-07-20 19:45:14,049 | INFO | airguardian | App starting...
2025-07-20 19:45:40,471 | ERROR | airguardian | HTTPException: Drones API error: {"detail":"Not Found"} on http://localhost:8000/drones
2025-07-20 19:46:02,530 | WARNING | airguardian | Validation error: [{'type': 'missing', 'loc': ('header', 'x-secret'), 'msg': 'Field required', 'input': None}] on http://localhost:8000/nfz
2025-07-20 19:46:22,793 | ERROR | airguardian | HTTPException: Drones API error: {"detail":"Not Found"} on http://localhost:8000/drones
2025-07-20 19:46:25,038 | ERROR | airguardian | HTTPException: Drones API error: {"detail":"Not Found"} on http://localhost:8000/drones?limit=10
2025-07-20 19:46:46,485 | INFO | airguardian | App starting...
2025-07-20 19:46:49,246 | INFO | airguardian | Returning first 10 drones
2025-07-20 19:46:56,803 | INFO | airguardian | Returning first 100 drones
2025-07-20 19:47:00,158 | WARNING | airguardian | Validation error: [{'type': 'less_than_equal', 'loc': ('query', 'limit'), 'msg': 'Input should be less than or equal to 100', 'input': '1000', 'ctx': {'le': 100}}] on http://localhost:8000/drones?limit=1000
2025-07-20 19:49:02,038 | INFO | airguardian | App starting...
